TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
4337,40.7512,111.847,10.1793,3500.37,2.74464,12.2495
1704,40.8392,116.092,13.6495,3504,2.84266,15.2077
7573,37.9716,131.642,13.9782,3526.22,3.46684,15.146
3419,36.3225,160.816,12.6327,3552.68,4.42743,15.0015
2662,38.239,133.67,12.6502,3527.15,3.49564,15.3255
6103,35.7912,135.528,12.7258,3535.64,3.78663,14.3753
9617,45.3075,64.8813,5.98829,3417.18,1.43202,7.17443
1509,38.4427,89.9871,10.0636,3484.34,2.34081,11.3578
3294,43.4302,126.727,13.8049,3506.79,2.91794,16.9126
5194,33.2901,144.746,14.3655,3550.56,4.34802,16.2032
6297,31.5354,123.492,13.9763,3539.23,3.91599,15.8921
8254,36.2936,110.177,12.6206,3511.15,3.0357,13.8427
3242,35.3106,92.2941,9.94044,3495.54,2.61377,11.0283
3891,37.6123,131.093,12.7137,3526.82,3.48537,14.3719
48,41.1291,137.021,12.0171,3521.84,3.33149,15.1188
2085,38.2661,110.269,10.7105,3505.44,2.88164,12.7211
9734,42.0713,110.716,13.09,3496.2,2.63164,15.3565
7747,37.204,124.567,12.7122,3522.38,3.34821,14.0511
812,40.0752,94.2871,9.1043,3484.89,2.35276,10.5303
644,37.2064,124.358,12.2278,3522.19,3.34236,15.2593
1921,40.1714,97.7505,8.94348,3488.61,2.43333,10.8861
216,38.1584,129.246,13.6965,3523.64,3.38709,15.1956
7477,41.5618,137.466,11.9355,3521.06,3.3075,13.3514
8960,44.341,112.75,11.3543,3492.92,2.5428,12.4061
601,38.5821,127.516,12.5044,3520.98,3.30506,14.8398
5025,38.3113,202.669,17.2658,3577.36,5.29005,19.835
5306,32.8728,145.305,12.7269,3552.49,4.42023,14.9597
5073,38.0498,144.027,13.2964,3535.6,3.78521,15.1032
1253,47.5181,72.5073,8.50678,3428.97,1.52589,10.3611
4725,39.0114,107.627,13.0777,3500.9,2.75886,14.5567
8994,37.9654,116.43,12.3795,3512.3,3.06674,14.3224
4393,32.1161,105.179,12.6202,3520.01,3.27496,15.4995
2538,40.0671,101.249,11.0203,3492.34,2.527,12.9259
5515,41.1164,78.3953,9.54462,3465.31,1.90666,11.4852
3916,40.6595,101.307,10.1118,3491.03,2.49161,11.2014
2551,38.7508,138.909,13.8779,3530.03,3.58468,15.2339
9960,37.5527,179.772,17.5939,3562.36,4.78718,19.8503
8955,40.8398,117.982,10.5308,3505.71,2.8889,11.9952
2903,33.6649,86.7408,10.1928,3494.17,2.57659,12.1697
3843,33.4962,98.4647,11.8577,3507.59,2.93958,13.6937
4537,35.7184,124.403,13.3893,3526.74,3.48287,14.5072
1151,28.2214,96.4316,11.791,3524.61,3.41697,13.8414
7870,38.1339,131.685,13.0121,3525.78,3.45322,15.3097
6496,38.63,130.471,12.2213,3523.33,3.37746,14.0795
3901,41.1179,81.0243,8.14257,3469.4,1.97053,9.33315
1893,31.1006,121.423,13.1917,3538.9,3.90421,15.9
3930,37.9448,119.017,12.8942,3514.88,3.13659,14.5627
5196,34.7186,129.156,12.9176,3533.79,3.72009,14.894
8230,34.7617,114.451,11.9319,3520.58,3.29246,14.1047
8118,38.3054,95.1064,10.296,3490.71,2.48284,12.2384
8073,32.9217,131.487,12.6657,3541.31,3.99393,14.8847
5445,33.7959,98.1244,11.5355,3506.25,2.90344,13.9377
8194,32.0409,129.986,14.4611,3542.95,4.05688,16.0195
1400,36.7145,116.995,11.5518,3516.74,3.1866,14.0735
8922,42.0961,75.0055,8.15477,3456.55,1.78177,9.27534
2760,41.107,124.096,11.8901,3510.52,3.01885,14.4557
8259,32.8073,112.662,12.4144,3525.16,3.43406,15.9822
1208,37.3766,109.65,9.80462,3507.37,2.93366,12.2823
260,37.5838,122.535,12.5959,3519.47,3.26032,14.9739
8930,34.6151,113.608,11.4311,3520.24,3.28204,13.8565
