TrialNumber,Accumulation size Dry Gas,Accumulation size Dry Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size NGL,Accumulation size NGL,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Average gross pay,Average net pay,Condensate yield,Depth of crest,Dry gas shrinkage factor,Expansion factor gas (1/Bg),Fraction HC gas losses / fuel use,Gas saturation,Gross rock volume - result,HC bearing gross rock volume,HC pore volume,HC water contact,HC water contact - result,Inplace.Accumulation size Assoc. Gas,Inplace.Accumulation size Condensate,Inplace.Accumulation size Gas,Inplace.Accumulation size HC liquid,Inplace.Accumulation size Non Assoc. Gas,Inplace.Accumulation size Oil,Inplace.Accumulation size Total Resources,Inplace.Yield factor Assoc. Gas,Inplace.Yield factor Condensate,Inplace.Yield factor Non Assoc. Gas,Inplace.Yield factor Oil,Net rock volume - result,Net/gross ratio,NGL yield from non-assoc. gas,Non Assoc. Gas gross rock volume,Non Assoc. Gas pore volume,Porosity,Productive area,Recoverable.Accumulation size Assoc. Gas,Recoverable.Accumulation size Condensate,Recoverable.Accumulation size Gas,Recoverable.Accumulation size HC liquid,Recoverable.Accumulation size Non Assoc. Gas,Recoverable.Accumulation size Oil,Recoverable.Accumulation size Total Resources,Recoverable.Yield factor Assoc. Gas,Recoverable.Yield factor Condensate,Recoverable.Yield factor Non Assoc. Gas,Recoverable.Yield factor Oil,Recovery factor Condensate,Recovery factor Non Assoc. Gas,Reservoir thickness,Spill point depth,Wet gas shrinkage factor
6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6059,3460.36,0.94,250.571,0,0.759822,229.775,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.855563,0,0,0,0.150759,0,0,0,0,0,0,0,0,0,0,0,0,0.581811,0.633775,35.8074,3695,1
9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3549,3560.99,0.94,256.452,0,0.792066,164.133,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.802744,0,0,0,0.162423,0,0,0,0,0,0,0,0,0,0,0,0,0.575029,0.704487,25.4438,3695,1
9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0714,3523.52,0.94,254.175,0,0.855779,201.381,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.75131,0,0,0,0.167054,0,0,0,0,0,0,0,0,0,0,0,0,0.514289,0.722627,31.3096,3695,1
2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2448,3575.86,0.94,266.628,0,0.834948,170.178,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.842161,0,0,0,0.157599,0,0,0,0,0,0,0,0,0,0,0,0,0.552098,0.665023,26.393,3695,1
6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.406,3622.51,0.94,256.26,0,0.782127,202.07,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.797093,0,0,0,0.153583,0,0,0,0,0,0,0,0,0,0,0,0,0.536843,0.716929,31.4186,3695,1
9351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3402,3537.72,0.94,255.779,0,0.794272,224.841,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.830707,0,0,0,0.152245,0,0,0,0,0,0,0,0,0,0,0,0,0.542165,0.732663,35.0242,3695,1
8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5579,3555.25,0.94,250.434,0,0.803686,199.662,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.780159,0,0,0,0.157392,0,0,0,0,0,0,0,0,0,0,0,0,0.499383,0.665908,31.0382,3695,1
2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2629,3508.35,0.94,255.953,0,0.817609,244.887,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.739239,0,0,0,0.161401,0,0,0,0,0,0,0,0,0,0,0,0,0.532341,0.692081,38.2086,3695,1
4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9288,3508.52,0.94,259.552,0,0.734428,195.6,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.77468,0,0,0,0.139681,0,0,0,0,0,0,0,0,0,0,0,0,0.538975,0.728622,30.3967,3695,1
2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6684,3490.85,0.94,251.938,0,0.782651,185.229,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.762867,0,0,0,0.160798,0,0,0,0,0,0,0,0,0,0,0,0,0.566578,0.743219,28.7612,3695,1
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05,3498.64,0.94,255.778,0,0.826099,197.943,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.758974,0,0,0,0.159742,0,0,0,0,0,0,0,0,0,0,0,0,0.535606,0.725098,30.7667,3695,1
2731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5722,3624.76,0.94,252.036,0,0.761959,212.08,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.798365,0,0,0,0.161688,0,0,0,0,0,0,0,0,0,0,0,0,0.566762,0.657092,33.0017,3695,1
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9944,3566.46,0.94,257.685,0,0.751235,187.488,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.835813,0,0,0,0.138076,0,0,0,0,0,0,0,0,0,0,0,0,0.52779,0.672725,29.1172,3695,1
9028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4767,3524.03,0.94,250.163,0,0.766358,223.317,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.832205,0,0,0,0.140813,0,0,0,0,0,0,0,0,0,0,0,0,0.541363,0.722356,34.7824,3695,1
9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6543,3535.07,0.94,259.253,0,0.835099,193.489,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.784218,0,0,0,0.164996,0,0,0,0,0,0,0,0,0,0,0,0,0.547842,0.685806,30.0636,3695,1
6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8337,3564.23,0.94,254.169,0,0.783724,210.573,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.670712,0,0,0,0.149463,0,0,0,0,0,0,0,0,0,0,0,0,0.582965,0.684291,32.7631,3695,1
8097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8958,3460.49,0.94,258.323,0,0.720702,228.793,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.797742,0,0,0,0.138109,0,0,0,0,0,0,0,0,0,0,0,0,0.507591,0.714058,35.6515,3695,1
1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4894,3448.63,0.94,250.356,0,0.830443,219.678,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.835475,0,0,0,0.170175,0,0,0,0,0,0,0,0,0,0,0,0,0.540385,0.752209,34.2053,3695,1
2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6463,3580.77,0.94,254.005,0,0.779099,216.834,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.745833,0,0,0,0.148323,0,0,0,0,0,0,0,0,0,0,0,0,0.502502,0.713481,33.7546,3695,1
9053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.014,3471.06,0.94,254.422,0,0.826223,189.049,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.819235,0,0,0,0.169001,0,0,0,0,0,0,0,0,0,0,0,0,0.538064,0.705391,29.3633,3695,1
5832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2743,3498,0.94,258.268,0,0.789896,216.216,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.720051,0,0,0,0.142553,0,0,0,0,0,0,0,0,0,0,0,0,0.581576,0.699537,33.6568,3695,1
